month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202201,92040,"lakeside, ca",1660,5664,458,-3562,51.832816,71.722265321955,31.9433669511249,47,0.1898734177215189,7.5,0.04444444444444451,2,-14,0.777071634022737,-0.4624105011933174,0.7486,743400,0.02192660796385182,0.10133333333333328,1.9824,0,20,92040
202201,91911,"chula vista, ca",140,2678,-121,-2272,68.795578,88.52211016291699,49.069045771916215,31,-0.08823529411764708,-3,0.4761904761904763,10,-30,0.37890651141002474,-0.4670753155390026,1.0242,699000,0.014678728617714354,0.21565217391304348,1.864,1,4,91911
202201,92071,"santee, ca",512,3359,86,-1056,64.522886,90.72924747866563,38.31652443754849,28,-0.125,-4,0.1200000000000001,3,-33,0.41451493205722034,-0.1972799233222613,0.8471,699000,0.017467248908296984,0.12760122600419432,1.864,0,28,92071
202201,91913,"chula vista, ca",2509,1811,370,-1471,74.367727,88.52211016291699,60.21334367726921,31,0.14814814814814814,4,3.428571428571429,24,-30,0.708243340945867,-0.3184390025718439,1.2438,749000,0.015593220338983027,0.1760087925891034,1.9973,1,5,91913
202201,92067,"rancho santa fe, ca",12593,9108,-695,713,32.91699,27.95190069821567,37.882079131109386,97,0.35664335664335667,25.5,0.11494252873563227,10,36,0.4502630242104917,0.7489090815750294,0.8377,7800000,0.006451612903225712,0.5014436958614052,20.8,1,27,92067
202201,92064,"poway, ca",1248,1372,-336,305,77.531032,91.84639255236617,63.215671062839405,25,-0.295774647887324,-10.5,0.13636363636363646,3,-36,0.15997421605429785,0.07377812008600482,1.3082,1250000,-0.05660341758619536,-0.2857142857142857,3.3333,1,26,92064
202201,92037,"la jolla, ca",841,3093,820,4151,66.243212,59.01861908456168,73.4678044996121,58,0.026548672566371723,1.5,-0.19444444444444442,-14,-3,0.6027009520597297,0.9651109008724903,1.5894,3500000,0.007919366450684029,0.21781489213639538,9.3333,0,19,92037
202201,92014,"del mar, ca",7108,3889,1335,3627,61.351823,61.46237393328161,61.24127230411172,56,-0.22758620689655173,-16.5,-0.2727272727272727,-21,-5,0.20861530827660602,0.5278719119886055,1.2652,6000000,0.19426751592356695,0.5810276679841897,16,1,12,92014
202201,92021,"el cajon, ca",250,5460,-1115,-2359,52.742436,73.7199379363848,31.764934057408844,45,0.21621621621621623,8,-0.021739130434782594,-1,-16,0.3246248076867253,-0.3434650455927052,0.7444,729000,0.0429184549356223,0.21702838063439067,1.944,0,16,92021
202201,91977,"spring valley, ca",746,4800,386,-3034,56.219938,86.65244375484872,25.787432117920865,34,0.0793650793650793,2.5,0.6190476190476191,13,-27,0.6095879237403345,-0.4371320854553873,0.6621,694900,0.02955774501814945,0.2634545454545454,1.8531,1,23,91977
202201,92118,"coronado, ca",6214,3413,225,5391,64.133049,57.71528316524438,70.55081458494958,59,0.06306306306306309,3.5,-0.2716049382716049,-22,-2,0.4676427525622253,1.3046948623332386,1.499,2600000,-0.0516140798832756,0.3000650032501626,6.9333,1,11,92118
202201,92020,"el cajon, ca",491,1750,109,32,74.77308,96.1210240496509,53.42513576415826,13,-0.5272727272727273,-14.5,-0.1875,-3,-48,0.4002071542189174,-0.03394433129667351,1.1034,799000,0.03229974160206717,0.1837037037037037,2.1307,0,15,92020
202201,92019,"el cajon, ca",1533,3745,-263,-506,62.220714,77.7734678044996,46.66795965865012,42,0.25373134328358216,8.5,0,0,-19,0.6075737732326469,-0.038349389141106416,0.9839,795000,0.019230769230769162,0.25196850393700787,2.12,0,14,92019
202112,91910,"chula vista, ca",85,1152,1363,-815,78.37185,87.38213015922089,69.36157056732107,33,0.22222222222222232,6,1,16.5,-20.5,0.30698915111985836,-0.1695005366798078,1.4741,775000,-0.01273885350318471,0.10793423874195862,2.0667,1,3,91910
