month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202104,92104,"san diego, ca",356,2412,222,-1752,68.952225,85.57411517346104,52.330335241210136,18.5,-0.21276595744680848,-5,-0.27450980392156865,-7,-21.5,-0.034596402952302374,0.8147763287942711,1.1115,714900,0.048240469208211234,0.052097130242825695,1.9211,0,4,92104
202105,92104,"san diego, ca",356,4383,-1971,-3309,56.571078,72.32786382456679,40.81429228645913,26,0.4054054054054055,7.5,-0.29729729729729726,-11,-11,-0.22543437162636037,0.2711684234578817,0.9225,748500,0.04699958036088958,0.1533127889060093,1.9703,0,4,92104
202106,92104,"san diego, ca",356,2603,1780,-1495,66.177207,86.95802983003816,45.39638493852854,16,-0.3846153846153846,-10,-0.4385964912280702,-12.5,-19.5,-0.047455295735901126,0.12441403981761545,1.0097,749949.5,0.0019365397461590383,-0.047622706203568455,1.9479,0,4,92104
202107,92104,"san diego, ca",356,4551,-1948,-3602,54.971116,81.25570082091821,28.686530860443902,22,0.375,6,0.04761904761904767,1,-14.5,-0.30967883243814376,-0.2820700218798393,0.7721,789500,0.052737550995100246,0.012828736369467686,2.0506,0,4,92104
202108,92104,"san diego, ca",356,4657,-106,-2790,54.526945,67.34282234738926,41.711067133505864,31.5,0.4318181818181819,9.5,0.8529411764705883,14.5,-6,0.15905550840456595,0.05360526315789471,0.9896,847000,0.07283090563647887,0.35519999999999996,2.2262,1,4,92104
202109,92104,"san diego, ca",356,2366,2291,-175,66.344401,85.38975839538064,47.299042698678015,25,-0.2063492063492064,-6.5,0.3513513513513513,6.5,-16.5,0.03874915702974735,0.16070695138573377,1.0815,757499.5,-0.1056676505312869,0.2688433835845896,1.9934,1,4,92104
202110,92104,"san diego, ca",356,1447,919,264,72.426943,83.05519897304237,61.79868609831609,28,0.1200000000000001,3,0.75,12,-15,0.2320743284185014,0.41431451612903225,1.352,750000,-0.00990033656787892,0.26050420168067223,1.9737,1,4,92104
202111,92104,"san diego, ca",356,1619,-172,994,73.318386,84.26277260357978,62.37399869686865,30,0.0714285714285714,2,0.33333333333333326,7.5,-16.5,-0.06485783583179927,0.6323010616707949,1.3385,739000,-0.014666666666666717,0.2125687094921651,1.9476,1,4,92104
201812,92104,"san diego, ca",356,396,609,-179,88.368852,94.8758390492609,81.8618640648498,39,0.06849315068493156,2.5,0.18181818181818188,6,-42,0.2731816187551266,-0.25436315681176225,1.9005,650000,-0.10344827586206895,0.02378327295637117,2.226,0,4,92104
201901,92104,"san diego, ca",356,597,-201,-411,86.469286,97.5207526286663,75.41781959048146,24.5,-0.3717948717948718,-14.5,0.11363636363636354,2.5,-62.5,0.17334332851857948,-0.4357235714901847,1.6422,649900,-0.00015384615384617106,0.040672538030424255,2.241,0,4,92104
