month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202105,94109,"san francisco, ca",14,8582,614,-6466,34.187625,60.68854470173286,7.686704493175893,32,-0.2195121951219512,-9,-0.36,-18,-5,-0.04020283594381302,-0.44002816405562406,0.3646,1195000,0.1435406698564594,-0.07722007722007718,3.1456,0,7,94109
202106,94109,"san francisco, ca",14,9345,-763,-5097,29.623849,51.86726789224188,7.380429336724863,35.5,0.109375,3.5,0.14516129032258074,4.5,0,-0.10667027443757604,-0.13400046352304718,0.3743,1250000,0.046025104602510414,-0.06959434313360624,3.2468,0,7,94109
202107,94109,"san francisco, ca",14,10115,-770,-3310,23.217543,39.198844633627246,7.2362420188507155,44.5,0.2535211267605635,9,0.08536585365853666,3.5,8,-0.04138947788955227,0.026538238563084127,0.3974,1217500,-0.026000000000000023,-0.09613956941351154,3.1623,0,7,94109
202108,94109,"san francisco, ca",14,8855,1260,-2616,33.269904,55.891307657177656,10.648500532805603,37,-0.1685393258426966,-7.5,0.05714285714285716,2,-0.5,0.10570130837269098,0.059474818734078116,0.4859,1299000,0.06694045174537977,0,3.4143,0,7,94109
202109,94109,"san francisco, ca",14,6798,2057,1033,44.660766,81.00592615104088,8.315605531074304,28,-0.2432432432432432,-9,-0.30000000000000004,-12,-13.5,-0.1399947066274636,0.18656406101590672,0.4397,1137500,-0.12432640492686686,-0.04931048892603429,2.9934,0,7,94109
202110,94109,"san francisco, ca",14,7877,-1079,837,39.31511,71.6907045231443,6.939515215585593,35,0.25,7,-0.2222222222222222,-10,-8,-0.09188744378463065,0.28762583787312024,0.4051,1150000,0.01098901098901095,-0.03765690376569042,3.0263,0,7,94109
202111,94109,"san francisco, ca",14,9268,-1391,280,31.589437,51.83013299605228,11.348740945153502,50.5,0.44285714285714284,15.5,-0.1652892561983471,-10,4,0.11956851864665818,0.43658720836849385,0.4802,1195000,0.03913043478260869,0,3.1493,0,7,94109
202112,94109,"san francisco, ca",14,9366,-98,481,31.00943,41.45540268975112,20.563456484773535,67.5,0.3366336633663367,17,-0.17177914110429449,-14,14,0.1721507626946337,0.2406509155871348,0.6099,1197500,0.0020920502092049986,0.03455723542116629,3.1933,0,7,94109
202201,94109,"san francisco, ca",14,9211,155,-539,32.108223,42.800620636152054,21.415826221877424,74,0.09629629629629632,6.5,-0.10843373493975905,-9,13,0.4236629980693507,-0.1293904432391184,0.5958,1195000,-0.0020876826722338038,0.040034812880765935,3.1867,0,7,94109
201711,94109,"san francisco, ca",14,1269,,,83.236655,74.11337102577282,92.35993832146266,59.5,,,,,-18,,,2.6672,1275000,,,4.6364,1,7,94109
201712,94109,"san francisco, ca",14,1990,,,77.856538,59.207570792060984,96.5055050263284,82,,,,,-3,,,3.7395,1200000,,,4.4263,1,7,94109
201801,94109,"san francisco, ca",14,1549,,,81.485592,66.35223615580956,96.618947212666,80.5,,,,,-9.5,,,3.9708,1064500,,,3.9197,1,7,94109
201802,94109,"san francisco, ca",14,342,,,92.64793,91.6129748944679,93.68288528475153,30,,,,,-54.5,,,3.0688,1249500,,,4.5068,1,7,94109
201803,94109,"san francisco, ca",14,844,,,87.287418,85.8352352204962,88.73960097180299,34,,,,,-31,,,2.4261,1339000,,,4.6332,0,7,94109
201804,94109,"san francisco, ca",14,1565,,,80.895583,74.79536907307721,86.9957967701497,42.5,,,,,-17,,,2.2821,1349500,,,4.5288,0,7,94109
201805,94109,"san francisco, ca",14,2100,,,76.676106,71.38391379500571,81.96829833400757,42.5,,,,,-14.5,,,1.9286,1280000,,,4.2681,0,7,94109
201806,94109,"san francisco, ca",14,1180,,,82.240706,76.34526285068038,88.13614972091496,39,,,,,-18,,,2.2602,1275000,,,4.25,0,7,94109
201807,94109,"san francisco, ca",14,1852,,,76.558157,66.6349670811997,86.48134601316751,50.5,,,,,-9,,,2.1178,1237500,,,4.1264,1,7,94109
201808,94109,"san francisco, ca",14,1633,219,-674,77.322823,64.27633019487628,90.36931610831326,56,0.10891089108910901,5.5,0.1914893617021276,9,-6,0.10129375285529618,0.05048819279514438,2.383,1175000,-0.0505050505050505,-0.06930693069306926,3.9265,0,7,94109
201809,94109,"san francisco, ca",14,472,1161,-87,87.147689,96.35960286576719,77.93577481179766,23,-0.5892857142857143,-33,-0.11538461538461542,-3,-42,-0.33565305847682014,-0.08549489652589204,1.6954,1185000,0.008510638297872353,-0.084942084942085,3.9632,0,7,94109
201810,94109,"san francisco, ca",14,686,-214,166,84.769517,94.26256432716522,75.27646994415853,29.5,0.28260869565217384,6.5,-0.28915662650602414,-12,-39,-0.05223630200026408,-0.12093256250835593,1.6292,1113500,-0.060337552742615985,-0.12632404864652802,3.7241,1,7,94109
201811,94109,"san francisco, ca",14,1617,-931,-348,77.328158,80.12597502471893,74.53034020580803,50.5,0.7118644067796611,21,-0.1512605042016807,-9,-21,-0.04364032246164973,-0.33716446034040637,1.6067,1050000,-0.057027391109115366,-0.17647058823529416,3.5205,1,7,94109
201812,94109,"san francisco, ca",14,1987,-370,3,74.635953,63.76407585372116,85.5078311264351,75,0.48514851485148514,24.5,-0.08536585365853655,-7,-6,0.3173547585191192,-0.38633706697574965,2.09,1118000,0.0647619047619048,-0.06833333333333336,3.8288,0,7,94109
201901,94109,"san francisco, ca",14,2265,-278,-716,73.00867,56.89725142962553,89.12008854454898,89.5,0.19333333333333336,14.5,0.11180124223602483,9,2.5,0.5374215302487038,-0.3622139150859355,2.3664,945000,-0.15474060822898028,-0.1122592766557069,3.2586,1,7,94109
201902,94109,"san francisco, ca",14,560,1705,-218,86.944054,92.98083327166432,80.9072744764301,32.5,-0.6368715083798883,-57,0.08333333333333326,2.5,-50.5,-0.1946430170630632,-0.3612607137173226,1.8681,1037500,0.0978835978835979,-0.16966786714685878,3.4757,1,7,94109
201903,94109,"san francisco, ca",14,1579,-1019,-735,76.258781,78.25223435948362,74.2653278899555,46,0.41538461538461546,13.5,0.3529411764705883,12,-19,-0.03390834191279812,-0.23212666770642898,1.7633,1105714.2857142857,0.0657487091222031,-0.17422383441800915,3.6032,1,7,94109
201904,94109,"san francisco, ca",14,2669,-1090,-1104,70.394325,65.44315459738345,75.34549474847982,50.5,0.09782608695652173,4.5,0.18823529411764706,8,-8,-0.0445304169324765,-0.19238188924602773,1.7145,1185000,0.07170542635658927,-0.12189699888847716,3.7313,1,7,94109
201905,94109,"san francisco, ca",14,3841,-1172,-1741,63.314328,54.18797130770645,72.44068420084605,56.5,0.11881188118811892,6,0.3294117647058823,14,1,-0.11818870590258845,-0.0751022273726335,1.5799,1250000,0.05485232067510548,-0.0234375,3.8527,1,7,94109
201906,94109,"san francisco, ca",14,879,2962,301,83.10539,82.51298178892709,83.69779858114532,36,-0.36283185840707965,-20.5,-0.07692307692307687,-3,-21,0.15095910964009462,-0.04050705848458658,1.992,999000,-0.20079999999999998,-0.21647058823529408,3.0748,1,7,94109
201907,94109,"san francisco, ca",14,1648,-769,204,76.275557,77.54654182363483,75.00457188837277,42.5,0.18055555555555558,6.5,-0.15841584158415845,-8,-17,-0.13470181885058852,-0.12312010056558631,1.6363,1247500,0.24874874874874875,0.008080808080808133,3.8767,0,7,94109
201908,94109,"san francisco, ca",14,1687,-39,-54,74.79863,72.4022305645661,77.19502861099976,50,0.17647058823529416,7.5,-0.1071428571428571,-6,-14,0.13576956943908924,-0.0956695220977285,1.8327,1383571.4285714286,0.10907529344403089,0.17750759878419453,4.3542,0,7,94109
201909,94109,"san francisco, ca",14,388,1299,84,88.184375,97.78662478541949,78.58212498630337,18.5,-0.63,-31.5,-0.19565217391304346,-4.5,-47.5,-0.04111312718938254,0.3052677294711146,1.7948,1495000,0.08053691275167774,0.2616033755274261,4.7475,0,7,94109
201910,94109,"san francisco, ca",14,2045,-1657,-1359,73.592503,93.38897430265759,53.796031920345555,30.5,0.6486486486486487,12,0.03389830508474567,1,-35.5,-0.3814212480659023,-0.14808840564357573,1.1618,1495000,0,0.3426133812303547,4.7692,1,7,94109
201911,94109,"san francisco, ca",14,2576,-531,-959,70.272651,87.44266265458148,53.10263843528678,42,0.3770491803278688,11.5,-0.16831683168316836,-8.5,-27,-0.03963446547041527,-0.14452004522822404,1.1278,1649000,0.10301003344481607,0.5704761904761906,5.3211,1,7,94109
201912,94109,"san francisco, ca",14,1651,925,336,77.349049,69.80243893398568,84.89565958708624,68,0.6190476190476191,26,-0.09333333333333338,-7,-11,0.8484824617915412,0.20039016262216536,2.0446,1749444,0.06091206791995152,0.5647978533094813,5.8325,1,7,94109
201708,94109,"san francisco, ca",14,959,,,85.586739,77.71232024589264,93.46115847634381,47,,,,,-19.5,,,2.7558,1262500,,,4.5251,0,7,94109
201709,94109,"san francisco, ca",14,385,,,91.335108,95.0694723022501,87.60074395536267,26,,,,,-45,,,2.2218,1295000,,,4.6494,0,7,94109
201710,94109,"san francisco, ca",14,852,,,86.442818,87.0192131747484,85.86642268984447,41.5,,,,,-33,,,2.0937,1274500,,,4.5927,1,7,94109
202007,94116,"san francisco, ca",1506,782,-429,-563,83.690658,91.01333432936167,76.36798266910694,24.5,-0.1694915254237288,-5,-0.18333333333333335,-5.5,-33,-0.2199795055046112,0.5243378221706947,1.7549,1585000,0.004754358161648264,0.043106284962158625,4.5415,0,13,94116
202008,94116,"san francisco, ca",1506,596,186,-504,85.274713,95.04622036678097,75.5032056060832,15,-0.3877551020408163,-9.5,-0.31818181818181823,-7,-38,0.060323106565881135,0.5793053784766493,1.7301,1598000,0.008201892744479578,0.10098425196850402,4.5657,0,13,94116
202009,94116,"san francisco, ca",1506,1917,-1321,-1742,74.092453,88.80754716981131,59.37735849056603,23,0.5333333333333334,8,0.2777777777777777,5,-28,-0.285255626223092,0.3894014856023993,1.271,1546500,-0.03222778473091359,0.10661896243291591,4.4186,1,13,94116
202010,94116,"san francisco, ca",1506,1828,89,-1045,73.745341,90.95666578818569,56.53401603855277,21,-0.08695652173913049,-2,-0.33333333333333337,-10.5,-30,-0.08825668449197865,0.6955792792147308,1.2085,1450000,-0.06239896540575496,0.053779069767441845,4.1429,0,13,94116
